link_id,from_node,to_node,length,free_speed,type
0,0,1,10,10,dummy
1,0,9,0,10,dummy
2,1,2,20,10,physical
3,1,4,20,10,physical
4,1,5,20,10,physical
5,1,9,10,10,dummy
6,2,1,20,10,physical
7,2,6,40,10,physical
8,2,8,20,10,physical
9,3,6,10,10,physical
10,3,7,10,10,physical
12,4,1,20,10,physical
13,4,6,10,10,physical
14,4,7,10,10,physical
15,5,1,20,10,physical
16,5,7,40,10,physical
17,5,8,20,10,physical
19,6,2,40,10,physical
20,6,3,10,10,physical
21,6,4,10,10,physical
23,7,3,10,10,physical
24,7,4,10,10,physical
25,7,5,40,10,physical
26,8,2,20,10,physical
27,8,5,20,10,physical
28,3,10,10,10,dummy
29,7,11,10,10,dummy
30,1,12,10,10,dummy
31,10,3,10,10,dummy
32,11,7,10,10,dummy
33,12,1,10,10,dummy

